"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"RP11-973H7.1",3.71298223554351e-24,3.1012206888308,0.329,0.06,1.11389467066305e-20,"X9_NK1","RP11-973H7.1"
"RP11-47L3.1",4.67705176575621e-24,0.647267258980255,0.279,0.108,1.40311552972686e-20,"X9_NK1","RP11-47L3.1"
"ANKRD28",6.03281082042061e-24,1.43391959584925,0.374,0.126,1.80984324612618e-20,"X9_NK1","ANKRD28"
"SORBS2",1.07405914226861e-23,3.72450062292058,0.212,0.011,3.22217742680584e-20,"X9_NK1","SORBS2"
"GPR153",1.92105805827932e-22,2.02055495043269,0.324,0.036,5.76317417483795e-19,"X9_NK1","GPR153"
"LPP",2.12779903409615e-22,1.02485400026834,0.322,0.198,6.38339710228844e-19,"X9_NK1","LPP"
"RTKN",4.1734035565661e-22,2.40401569695215,0.277,0.033,1.25202106696983e-18,"X9_NK1","RTKN"
"FERMT3",6.63096339296451e-22,0.452733541395886,0.309,0.29,1.98928901788935e-18,"X9_NK1","FERMT3"
"RP11-401F2.3",9.96426775028697e-22,2.18799849480478,0.335,0.073,2.98928032508609e-18,"X9_NK1","RP11-401F2.3"
"TMEM21",2.19839817380224e-21,1.1496294319031,0.306,0.194,6.59519452140673e-18,"X9_NK1","TMEM2"
"HBA1",5.19687498307738e-21,1.40034986254819,0.236,0.063,1.55906249492321e-17,"X9_NK1","HBA1"
"EPB41L4A",8.15256015648424e-21,5.00024699594368,0.315,0.074,2.44576804694527e-17,"X9_NK1","EPB41L4A"
"SLFN121",1.50266448694476e-20,2.63007427511795,0.361,0.115,4.50799346083429e-17,"X9_NK1","SLFN12"
"PLXNA4",1.90728434664181e-20,0.474599650969292,0.348,0.047,5.72185303992543e-17,"X9_NK1","PLXNA4"
"RP11-305L7.3",3.81003874731485e-20,3.12564817573346,0.321,0.031,1.14301162419445e-16,"X9_NK1","RP11-305L7.3"
"RRM2",5.70824636252455e-20,3.21835223468183,0.24,0.022,1.71247390875736e-16,"X9_NK1","RRM2"
"CCND23",7.94669350497447e-20,0.551872038415774,0.292,0.241,2.38400805149234e-16,"X9_NK1","CCND2"
"TM4SF19",2.23505746592086e-19,2.19048136147577,0.304,0.028,6.70517239776259e-16,"X9_NK1","TM4SF19"
"KIF19",2.75625330417628e-19,2.06344639009272,0.243,0.034,8.26875991252884e-16,"X9_NK1","KIF19"
"GOLGB1",4.1910883135354e-19,0.800461909116575,0.415,0.277,1.25732649406062e-15,"X9_NK1","GOLGB1"
"GFI1",5.48594648011121e-19,4.91880291792891,0.257,0.083,1.64578394403336e-15,"X9_NK1","GFI1"
"ADGRB2",7.03161942095988e-19,2.6793654655075,0.25,0.025,2.10948582628796e-15,"X9_NK1","ADGRB2"
"ZMAT4",9.49646144729367e-19,1.96409286489369,0.267,0.008,2.8489384341881e-15,"X9_NK1","ZMAT4"
"PALLD",1.09881586332989e-18,1.29787427345629,0.224,0.085,3.29644758998966e-15,"X9_NK1","PALLD"
"SEPT11",1.69448463172596e-18,3.79806768327347,0.285,0.135,5.08345389517787e-15,"X9_NK1","SEPT11"
"IRF9",1.89594807322426e-18,1.01157222508648,0.253,0.19,5.68784421967279e-15,"X9_NK1","IRF9"
"RBFOX3",4.0591940095702e-18,2.88466683768245,0.245,0.016,1.21775820287106e-14,"X9_NK1","RBFOX3"
"TUBA1B1",7.43574408234476e-18,3.75380290008336,0.455,0.39,2.23072322470343e-14,"X9_NK1","TUBA1B"
"CLSPN",1.23005734398088e-17,2.22215748925212,0.182,0.051,3.69017203194263e-14,"X9_NK1","CLSPN"
"AK5",3.95201699904019e-17,1.05894463349773,0.249,0.122,1.18560509971206e-13,"X9_NK1","AK5"
"TRGV7",4.1696108315178e-17,1.78849103585848,0.329,0.04,1.25088324945534e-13,"X9_NK1","TRGV7"
"RPAP21",4.98760754129157e-17,1.26973773995766,0.313,0.214,1.49628226238747e-13,"X9_NK1","RPAP2"
"C2orf48",5.60769243990434e-17,3.49989120397777,0.186,0.006,1.6823077319713e-13,"X9_NK1","C2orf48"
"LGALS11",6.94778779592677e-17,2.5663817442437,0.453,0.257,2.08433633877803e-13,"X9_NK1","LGALS1"
"CTB-58E17.1",2.6841173948412e-16,2.34332992361274,0.178,0.102,8.0523521845236e-13,"X9_NK1","CTB-58E17.1"
"ZNF660",3.56535158551373e-16,2.99110134454348,0.251,0.051,1.06960547565412e-12,"X9_NK1","ZNF660"
"KLRC3",3.59935464990094e-16,1.55777370689292,0.293,0.019,1.07980639497028e-12,"X9_NK1","KLRC3"
"C1QTNF31",7.6961265750579e-16,2.00317721884775,0.361,0.056,2.30883797251737e-12,"X9_NK1","C1QTNF3"
"STMN11",8.74274813210479e-16,3.84421973566351,0.192,0.183,2.62282443963144e-12,"X9_NK1","STMN1"
"PDZK1",2.05488757920298e-15,2.1524073330594,0.272,0.013,6.16466273760895e-12,"X9_NK1","PDZK1"
"RP11-38M8.1",2.34517593925747e-14,1.78090208739216,0.287,0.029,7.03552781777241e-11,"X9_NK1","RP11-38M8.1"
"KANK3",4.10970848804816e-14,3.43702217689232,0.197,0.055,1.23291254641445e-10,"X9_NK1","KANK3"
"DCLRE1A",4.97257316650631e-14,0.795111551983094,0.375,0.11,1.49177194995189e-10,"X9_NK1","DCLRE1A"
"PSTPIP2",5.29661253501521e-14,0.480462235041007,0.274,0.132,1.58898376050456e-10,"X9_NK1","PSTPIP2"
"LINC01451",9.73163038440671e-14,2.3722887241425,0.316,0.021,2.91948911532201e-10,"X9_NK1","LINC01451"
"SMC4",1.82919155467643e-13,13.9483792384039,0.256,0.157,5.48757466402928e-10,"X9_NK1","SMC4"
"SOX131",2.38608557454317e-13,2.31100654189387,0.296,0.058,7.15825672362952e-10,"X9_NK1","SOX13"
"HBQ1",3.22972815431681e-13,2.94845012039062,0.175,0.012,9.68918446295044e-10,"X9_NK1","HBQ1"
"TISP43",3.96928872037671e-13,2.05245888914684,0.245,0.018,1.19078661611301e-09,"X9_NK1","TISP43"
"INSIG11",9.89216848359612e-13,0.309182886853716,0.246,0.11,2.96765054507884e-09,"X9_NK1","INSIG1"
"ZMYND10",1.16031869221047e-12,1.7223070334245,0.26,0.062,3.48095607663142e-09,"X9_NK1","ZMYND10"
"LTBP21",1.22027895230953e-12,2.01891544674658,0.233,0.03,3.66083685692858e-09,"X9_NK1","LTBP2"
"GAS1",2.49064352952784e-12,2.24931424345296,0.209,0.023,7.47193058858352e-09,"X9_NK1","GAS1"
"C9orf139",2.58690181609622e-12,6.21043453257798,0.226,0.108,7.76070544828865e-09,"X9_NK1","C9orf139"
"RP11-181E10.3",3.91996754962837e-12,3.03350502207804,0.276,0.064,1.17599026488851e-08,"X9_NK1","RP11-181E10.3"
"SERP2",5.83573243834747e-12,2.10636987620766,0.211,0.012,1.75071973150424e-08,"X9_NK1","SERP2"
"DEGS2",6.32484068247617e-12,3.38034044419674,0.166,0.064,1.89745220474285e-08,"X9_NK1","DEGS2"
"AARD",8.17745490499542e-12,3.08876213976417,0.121,0.009,2.45323647149863e-08,"X9_NK1","AARD"
"MEIS1",9.61113635200706e-12,0.510706030370194,0.244,0.022,2.88334090560212e-08,"X9_NK1","MEIS1"
"CXXC4",1.16034285062588e-11,2.15720668388139,0.146,0.012,3.48102855187765e-08,"X9_NK1","CXXC4"
"KIAA1107",1.39864090780958e-11,4.30362264004311,0.279,0.102,4.19592272342875e-08,"X9_NK1","KIAA1107"
"KIR3DX1",1.48585425827838e-11,2.50817486323709,0.265,0.023,4.45756277483515e-08,"X9_NK1","KIR3DX1"
"RDH10",9.21489290187257e-11,4.18976173306624,0.275,0.078,2.76446787056177e-07,"X9_NK1","RDH10"
"RP11-160O5.11",1.36082822852161e-10,1.9088576667603,0.211,0.023,4.08248468556484e-07,"X9_NK1","RP11-160O5.1"
"CHEK11",1.72385030239246e-10,2.09823897979211,0.167,0.079,5.17155090717737e-07,"X9_NK1","CHEK1"
"RP11-89G4.1",2.14416666310344e-10,0.615209987149413,0.255,0.039,6.43249998931032e-07,"X9_NK1","RP11-89G4.1"
"LAMA2",2.87871989584286e-10,1.84372648886703,0.212,0.018,8.63615968752858e-07,"X9_NK1","LAMA2"
"NUAK1",4.69370616908874e-10,1.7806229900764,0.252,0.013,1.40811185072662e-06,"X9_NK1","NUAK1"
"AC093609.1",5.02129209081436e-10,2.93871256160356,0.271,0.066,1.50638762724431e-06,"X9_NK1","AC093609.1"
"MAMDC4",5.9781515221855e-10,2.62309537243267,0.283,0.045,1.79344545665565e-06,"X9_NK1","MAMDC4"
"CTC-543D15.8",6.54107022643244e-10,1.92362451012388,0.239,0.03,1.96232106792973e-06,"X9_NK1","CTC-543D15.8"
"RP11-575L7.8",1.20490139033771e-09,3.48429270970095,0.309,0.126,3.61470417101314e-06,"X9_NK1","RP11-575L7.8"
"HEY2",1.97880105010993e-09,2.43396434145461,0.182,0.023,5.93640315032978e-06,"X9_NK1","HEY2"
"EPS8L11",2.47745010512582e-09,3.51901668081599,0.225,0.046,7.43235031537746e-06,"X9_NK1","EPS8L1"
"ZBTB20-AS1",2.67158574117212e-09,1.9301638151017,0.121,0.014,8.01475722351635e-06,"X9_NK1","ZBTB20-AS1"
"FLJ45079",2.73228772394471e-09,1.55037429872872,0.127,0.009,8.19686317183413e-06,"X9_NK1","FLJ45079"
"DEPDC1B",4.84088458162722e-09,1.43011508614942,0.217,0.021,1.45226537448817e-05,"X9_NK1","DEPDC1B"
"TESPA13",4.86528412319395e-09,0.51618980593926,0.123,0.236,1.45958523695818e-05,"X9_NK1","TESPA1"
"SPTLC3",5.39453785894323e-09,3.00549964583549,0.179,0.02,1.61836135768297e-05,"X9_NK1","SPTLC3"
"TMEM163",5.83219243150137e-09,0.706069454620852,0.168,0.02,1.74965772945041e-05,"X9_NK1","TMEM163"
"FAM27C",7.32292907409307e-09,0.32940066913007,0.223,0.052,2.19687872222792e-05,"X9_NK1","FAM27C"
"FKBP10",8.35951729281569e-09,2.44421299344605,0.117,0.016,2.50785518784471e-05,"X9_NK1","FKBP10"
"RAD51",1.35542246779869e-08,2.02919234845661,0.126,0.02,4.06626740339606e-05,"X9_NK1","RAD51"
"ADGRG3",1.72573951641057e-08,1.55165662705562,0.132,0.009,5.17721854923171e-05,"X9_NK1","ADGRG3"
"MIR4435-2HG1",1.83382201192511e-08,1.69802820950415,0.2,0.104,5.50146603577532e-05,"X9_NK1","MIR4435-2HG"
"AKAP9",2.93247984026893e-08,1.19608195074119,0.381,0.369,8.79743952080678e-05,"X9_NK1","AKAP9"
"TNFRSF92",3.05796791185005e-08,2.01887697864241,0.19,0.051,9.17390373555014e-05,"X9_NK1","TNFRSF9"
"TNFRSF11A",3.2990976482478e-08,1.86277567738737,0.17,0.021,9.89729294474341e-05,"X9_NK1","TNFRSF11A"
"RP11-457M11.5",4.35975050430295e-08,3.10564813408796,0.297,0.089,0.000130792515129089,"X9_NK1","RP11-457M11.5"
"SMPDL3B",6.07750495093622e-08,2.53134262020848,0.117,0.016,0.000182325148528086,"X9_NK1","SMPDL3B"
"ZNF6241",6.31583897821721e-08,0.700413105528753,0.317,0.103,0.000189475169346516,"X9_NK1","ZNF624"
"OPHN1",1.33991071597566e-07,2.90036525948026,0.183,0.049,0.000401973214792697,"X9_NK1","OPHN1"
"GTSE1",1.42057942587007e-07,2.51526077961486,0.11,0.023,0.000426173827761022,"X9_NK1","GTSE1"
"TLR31",1.49675041807058e-07,1.50312121819274,0.284,0.056,0.000449025125421174,"X9_NK1","TLR3"
"PIK3R31",1.49743651692699e-07,1.11002354896855,0.182,0.05,0.000449230955078098,"X9_NK1","PIK3R3"
"TRPC3",1.59890622916683e-07,2.64859397631414,0.112,0.003,0.00047967186875005,"X9_NK1","TRPC3"
"RP11-61A14.1",1.88086363726834e-07,1.68178672643648,0.129,0.016,0.000564259091180501,"X9_NK1","RP11-61A14.1"
"CD22",2.02866713692431e-07,1.74758155679328,0.43,0.379,0.000608600141077292,"X9_NK1","CD2"
"RP11-769O8.1",2.7677942449294e-07,1.56235741537294,0.219,0.034,0.000830338273478821,"X9_NK1","RP11-769O8.1"
"LINC005041",2.9057932617106e-07,4.00223713110427,0.191,0.083,0.000871737978513179,"X9_NK1","LINC00504"
"AK1",2.9210937257897e-07,3.74226698916143,0.222,0.102,0.000876328117736911,"X9_NK1","AK1"
"ARNT2",3.41172359723445e-07,1.9232216526451,0.237,0.02,0.00102351707917034,"X9_NK1","ARNT2"
"COL15A1",5.21285401626109e-07,2.24243709481194,0.12,0.01,0.00156385620487833,"X9_NK1","COL15A1"
"CTD-2162K18.4",5.99852560517742e-07,0.670724472581423,0.233,0.034,0.00179955768155323,"X9_NK1","CTD-2162K18.4"
"PTPN6",6.20095403743463e-07,0.364858302453444,0.402,0.37,0.00186028621123039,"X9_NK1","PTPN6"
"RP5-1180E21.4",6.46802574201242e-07,2.65613530193725,0.171,0.084,0.00194040772260372,"X9_NK1","RP5-1180E21.4"
"U91328.19",9.30618075376347e-07,1.10905873181724,0.221,0.065,0.00279185422612904,"X9_NK1","U91328.19"
"RP11-242D8.1",1.30105283101245e-06,2.2187825778705,0.234,0.135,0.00390315849303735,"X9_NK1","RP11-242D8.1"
"CHRNE",1.53623168907229e-06,2.64459753093058,0.156,0.046,0.00460869506721687,"X9_NK1","CHRNE"
"TRIM17",1.66639129375722e-06,2.4401907289978,0.17,0.027,0.00499917388127166,"X9_NK1","TRIM17"
"LRFN2",1.76952429840271e-06,1.39535738031784,0.146,0.017,0.00530857289520814,"X9_NK1","LRFN2"
"CTD-2376I20.1",2.24823360042434e-06,1.23430166376692,0.137,0.009,0.00674470080127303,"X9_NK1","CTD-2376I20.1"
"RP11-509J21.2",3.03344423292401e-06,1.43268653239103,0.173,0.035,0.00910033269877203,"X9_NK1","RP11-509J21.2"
"RP5-1009E24.8",4.33868891796396e-06,1.78135769606882,0.265,0.075,0.0130160667538919,"X9_NK1","RP5-1009E24.8"
"RP11-214K3.24",4.76299948289842e-06,1.83596680699101,0.137,0.015,0.0142889984486953,"X9_NK1","RP11-214K3.24"
"C10orf91",4.95766414150412e-06,0.679731336206036,0.216,0.033,0.0148729924245124,"X9_NK1","C10orf91"
"EXOC3L2",5.78527919486332e-06,1.83554421436133,0.131,0.01,0.0173558375845899,"X9_NK1","EXOC3L2"
"DZANK1",6.15681251880509e-06,4.52697401005344,0.102,0.089,0.0184704375564153,"X9_NK1","DZANK1"
"PPP1R9A",6.51933587775326e-06,1.0192120269796,0.188,0.034,0.0195580076332598,"X9_NK1","PPP1R9A"
"RP11-267M23.4",7.01057545073688e-06,2.06590800351218,0.198,0.056,0.0210317263522107,"X9_NK1","RP11-267M23.4"
"C17orf961",1.00037161634479e-05,1.27207031702175,0.162,0.036,0.0300111484903437,"X9_NK1","C17orf96"
"IFITM10",1.1617770057518e-05,1.75004681654106,0.193,0.038,0.034853310172554,"X9_NK1","IFITM10"
"RGS17",1.21135475501381e-05,2.92280720948516,0.202,0.071,0.0363406426504143,"X9_NK1","RGS17"
"RAB36",1.47502460594354e-05,1.73917440148093,0.153,0.037,0.0442507381783062,"X9_NK1","RAB36"
"RP11-216B9.6",1.61738218536488e-05,4.51602292692163,0.148,0.053,0.0485214655609465,"X9_NK1","RP11-216B9.6"
"CEP290",1.66566785287531e-05,5.28919391275788,0.244,0.165,0.0499700355862594,"X9_NK1","CEP290"
